Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Al-Kharj, Saudi Arabia",5/8/2000,109.5,84.3,96.4,,103.8,0,,,15,186.67,,6.8,10,13.26,Clear
"Al-Kharj, Saudi Arabia",5/9/2000,109.5,78.9,94.6,,104.2,0,,,21.9,111.76,,5.4,27.5,20.86,Partially cloudy
"Al-Kharj, Saudi Arabia",5/10/2000,102.3,75.3,88.7,,97.6,0,,,16.1,37.39,,2.6,43.3,19.29,Partially cloudy
"Al-Kharj, Saudi Arabia",5/11/2000,104.1,73.5,87.6,,101.8,0,,,12.8,130.48,,4.7,29.2,21.51,Partially cloudy
"Al-Kharj, Saudi Arabia",5/12/2000,104.1,73.5,88,,102.5,0,,,11.4,93.13,,6.1,7.5,19.79,Clear
"Al-Kharj, Saudi Arabia",5/13/2000,104.1,73.5,90.8,,98.5,0,,,6.9,140.83,,6.8,35.5,16.21,Partially cloudy
"Al-Kharj, Saudi Arabia",5/14/2000,109.5,75.3,94.8,,103.8,0,,,13.9,205.29,,6.8,49.6,13.31,Partially cloudy
"Al-Kharj, Saudi Arabia",5/15/2000,111.3,75.3,93.1,,103.1,0,,,10.3,188.26,,6.8,17,15.39,Clear
"Al-Kharj, Saudi Arabia",5/16/2000,109.5,80.7,94.7,,103.8,0,,,10.3,191.11,,6.8,6.3,15.52,Clear
"Al-Kharj, Saudi Arabia",5/17/2000,109.5,77.1,94.9,,103.1,0,,,16.1,148.57,,6.8,19.1,12.46,Clear
"Al-Kharj, Saudi Arabia",5/18/2000,111.3,77.1,95.9,,103.8,0,,,12.8,101,,6.8,6.5,12.18,Clear
"Al-Kharj, Saudi Arabia",5/19/2000,111.3,77.1,96.2,,103.5,0,,,13.9,163.68,,6.8,1.3,13.17,Clear
"Al-Kharj, Saudi Arabia",5/20/2000,109.5,78.9,95.1,,103.8,0,,,12.8,160.53,,6.8,0,13.5,Clear
"Al-Kharj, Saudi Arabia",5/21/2000,109.5,78.9,94.9,,104.6,0,,,9.2,156.43,,6.8,0,14.18,Clear
"Al-Kharj, Saudi Arabia",5/22/2000,107.7,80.7,95.1,,103,0,,,16.1,94.21,,5.8,0,15.48,Clear
"Al-Kharj, Saudi Arabia",5/23/2000,107.7,80.7,92.5,,101.6,0,,,11.4,120,,6.8,0,14.71,Clear
"Al-Kharj, Saudi Arabia",5/24/2000,107.7,78.9,95.2,,101.4,0,,,12.8,189.44,,6.8,0,12.5,Clear
"Al-Kharj, Saudi Arabia",5/25/2000,113.1,86.1,99.4,,102.9,0,,,13.9,229,,6.8,0,10.46,Clear
"Al-Kharj, Saudi Arabia",5/26/2000,111.3,77.1,94.9,,103.1,0,,,12.8,100,,6.8,0,12.62,Clear
"Al-Kharj, Saudi Arabia",5/27/2000,107.7,78.9,93.4,,101.6,0,,,13.9,115.88,,5.1,0,13.66,Clear
"Al-Kharj, Saudi Arabia",5/28/2000,109.5,82.5,95.9,,103.1,0,,,11.4,157.89,,6.8,0,13.51,Clear
"Al-Kharj, Saudi Arabia",5/29/2000,107.7,82.5,94.4,,102.2,0,,,12.8,87.27,,6.7,0,13.93,Clear
"Al-Kharj, Saudi Arabia",5/30/2000,109.5,78.9,93.6,,104.2,0,,,20.8,178.5,,6.4,0,13.92,Clear
"Al-Kharj, Saudi Arabia",5/31/2000,109.5,78.9,93.6,,103.8,0,,,15,121.5,,6.7,0,12.99,Clear
"Al-Kharj, Saudi Arabia",6/1/2000,111.3,80.7,96.3,,103.8,0,,,11.4,131.58,,6.8,0,12.24,Clear
"Al-Kharj, Saudi Arabia",6/2/2000,113.1,80.7,99.3,,104.2,0,,,13.9,142.5,,6.8,0,12.21,Clear
"Al-Kharj, Saudi Arabia",6/3/2000,113.1,82.5,97.7,,105.5,0,,,11.4,151.67,,6.8,0,14.09,Clear
"Al-Kharj, Saudi Arabia",6/4/2000,116.7,86.1,101.5,,104.6,0,,,15,163.33,,6.8,0,13.06,Clear
"Al-Kharj, Saudi Arabia",6/5/2000,113.1,84.3,98.2,,103.8,0,,,17.2,191,,6.2,0,13.18,Clear
"Al-Kharj, Saudi Arabia",6/6/2000,111.3,84.3,97,,102.6,0,,,17.2,181.43,,6.8,0,14.2,Clear
"Al-Kharj, Saudi Arabia",6/7/2000,109.5,80.7,95.5,,105.5,0,,,15,235.22,,6.8,0,18,Clear
"Al-Kharj, Saudi Arabia",6/8/2000,109.5,80.7,95.2,,103.8,0,,,21.9,178.42,,6.6,0,16.11,Clear
"Al-Kharj, Saudi Arabia",6/9/2000,107.7,77.1,95.8,,103.4,0,,,16.1,170,,6.8,0,15.68,Clear
"Al-Kharj, Saudi Arabia",6/10/2000,107.7,80.7,93.9,,103,0,,,13.9,247.5,,6.7,0,14.96,Clear
"Al-Kharj, Saudi Arabia",6/11/2000,107.7,82.5,94.5,,103.4,0,,,18.3,217.27,,6.8,0,15.04,Clear
"Al-Kharj, Saudi Arabia",6/12/2000,109.5,80.7,94.5,,104.6,0,,,18.3,237.5,,6.4,0,14.14,Clear
"Al-Kharj, Saudi Arabia",6/13/2000,111.3,78.9,93.5,,102.2,0,,,17.2,151.25,,6.6,0,13.59,Clear
"Al-Kharj, Saudi Arabia",6/14/2000,109.5,78.9,94.2,,104.6,0,,,10.3,183.33,,6.8,1.4,15.43,Clear
"Al-Kharj, Saudi Arabia",6/15/2000,109.5,75.3,94.4,,103.8,0,,,13.9,127.37,,5.7,0,13.24,Clear
"Al-Kharj, Saudi Arabia",6/16/2000,109.5,75.3,94.3,,104.2,0,,,17.2,100,,6.8,0,18.63,Clear
"Al-Kharj, Saudi Arabia",6/17/2000,107.7,73.5,93.2,,103.4,0,,,12.8,148.67,,6.8,0,17.47,Clear
"Al-Kharj, Saudi Arabia",6/18/2000,109.5,82.5,95.9,,103.8,0,,,18.3,186.67,,6.6,0,14.2,Clear
"Al-Kharj, Saudi Arabia",6/19/2000,111.3,82.5,96.6,,103,0,,,15,121.67,,6.8,0,12.96,Clear
"Al-Kharj, Saudi Arabia",6/20/2000,113.1,82.5,96.4,,104.2,0,,,19.5,136.25,,6.6,2.9,11.26,Clear
"Al-Kharj, Saudi Arabia",6/21/2000,109.5,78.9,95.1,,103.8,0,,,18.3,100,,5.2,2.5,15.94,Clear
"Al-Kharj, Saudi Arabia",6/22/2000,114.9,86.1,100.3,,103.8,0,,,20.8,231.74,,2.4,11.7,13.35,Clear
"Al-Kharj, Saudi Arabia",6/23/2000,113.1,86.1,100.3,,103.5,0,,,26.4,325.42,,1.9,37.5,12.45,Partially cloudy
"Al-Kharj, Saudi Arabia",6/24/2000,111.3,86.1,99.1,,105,0,,,21.9,207,,4.2,0,12.38,Clear
"Al-Kharj, Saudi Arabia",6/25/2000,105.9,77.1,93.7,,102.1,0,,,10.3,122.5,,6.1,0,16.03,Clear
"Al-Kharj, Saudi Arabia",6/26/2000,105.9,78.9,93.7,,102.1,0,,,10.3,130.67,,6.8,0,16.43,Clear
"Al-Kharj, Saudi Arabia",6/27/2000,111.3,77.1,95.2,,104.2,0,,,13.9,140,,6.8,0,16.03,Clear
"Al-Kharj, Saudi Arabia",6/28/2000,107.7,86.1,99.4,,103.4,0,,,5.8,157.14,,6.8,0,14.29,Clear
"Al-Kharj, Saudi Arabia",6/29/2000,109.5,80.7,94.6,,103.8,0,,,12.8,176,,6.8,0,15.44,Clear
"Al-Kharj, Saudi Arabia",6/30/2000,109.5,77.1,92.4,,105,0,,,13.9,126.67,,6.8,0,15.74,Clear
"Al-Kharj, Saudi Arabia",7/1/2000,113.1,77.1,95.7,,103.4,0,,,15,246.32,,6.8,51.3,16.05,Partially cloudy
"Al-Kharj, Saudi Arabia",7/2/2000,113.1,86.1,100.8,,106.1,0,,,20.8,110.87,,6.6,30,15.64,Partially cloudy
"Al-Kharj, Saudi Arabia",7/3/2000,111.3,77.1,94.6,,110.9,0,,,19.5,91.67,,6.1,3.8,22.01,Clear
"Al-Kharj, Saudi Arabia",7/4/2000,111.3,77.1,96.1,,105,0,,,21.9,234.29,,6.1,0,16.01,Clear
"Al-Kharj, Saudi Arabia",7/5/2000,113.1,77.1,96,,106.3,0,,,16.1,124.71,,5.6,13.9,17.03,Clear
"Al-Kharj, Saudi Arabia",7/6/2000,111.3,82.5,96.1,,103.1,0,,,6.9,176.67,,6.3,28.7,15.67,Partially cloudy
"Al-Kharj, Saudi Arabia",7/7/2000,111.3,78.9,95.6,,103.1,0,,,13.9,183.33,,6.8,6.3,16.17,Clear
"Al-Kharj, Saudi Arabia",7/8/2000,118.5,84.3,100,,103.8,0,,,16.1,232.5,,6.8,5,14.96,Clear
"Al-Kharj, Saudi Arabia",7/9/2000,114.9,84.3,101,,103,0,,,26.4,307.73,,5.2,1.3,13.92,Clear
"Al-Kharj, Saudi Arabia",7/10/2000,114.9,84.3,99.9,,104.2,0,,,20.8,271.43,,5.8,7.8,13.95,Clear
"Al-Kharj, Saudi Arabia",7/11/2000,116.7,82.5,101.5,,105,0,,,8.1,171.43,,6.8,9,13.96,Clear
