Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Sana'a, Yemen",5/15/2000,86.6,69.5,79,,83.1,0,,,20.8,197,,5.9,54.6,26.73,Partially cloudy
"Sana'a, Yemen",5/16/2000,87.5,69.9,78,,83.9,0,,,17.2,255,,6.4,23.6,28.93,Clear
"Sana'a, Yemen",5/17/2000,89.7,71.7,81,,85.6,0,,,18.3,301.43,,6.5,36,30.5,Partially cloudy
"Sana'a, Yemen",5/18/2000,89,68.1,78.7,,85.2,0,,,18.3,264,,6.7,47.3,39.98,Partially cloudy
"Sana'a, Yemen",5/19/2000,89.7,62.7,79.6,,86.2,0,,,16.1,236.92,,6.5,51.9,35.94,Partially cloudy
"Sana'a, Yemen",5/20/2000,89.7,64.5,79.8,,85.7,0,,,16.1,80.77,,6.2,36.1,23.83,Partially cloudy
"Sana'a, Yemen",5/21/2000,91.5,57.3,81.8,,85.7,0,,,16.1,69.09,,6.4,25.7,17.5,Partially cloudy
"Sana'a, Yemen",5/22/2000,86.1,70.1,80.9,,82.8,0,,,18.3,120,,6.4,20,13.65,Clear
"Sana'a, Yemen",5/23/2000,87.9,58.7,78.3,,84.1,0,,,18.3,91.25,,6.5,24.6,17.9,Clear
"Sana'a, Yemen",5/24/2000,86.1,60.9,76.8,,82.7,0,,,20.8,93.75,,6.3,9,17.2,Clear
"Sana'a, Yemen",5/25/2000,86.3,69.9,78.8,,82.9,0,,,11.4,360,,6.4,18.8,15.54,Clear
"Sana'a, Yemen",5/26/2000,87.9,61.4,74.7,,84.2,0,,,13.9,123.33,,6.3,21.3,21.76,Clear
"Sana'a, Yemen",5/27/2000,88.4,60.9,76.6,,84.6,0,,,16.1,95,,6.4,20,22.88,Clear
"Sana'a, Yemen",5/28/2000,86.1,59.6,79.9,,82.7,0,,,17.2,110,,6.4,16.3,17.88,Clear
"Sana'a, Yemen",5/29/2000,87.9,62.7,75.6,,84.1,0,,,16.1,122.86,,6.3,8.2,19.28,Clear
"Sana'a, Yemen",5/30/2000,87.9,58.4,76.2,,84.2,0,,,30,90.77,,6.5,18,21.22,Clear
"Sana'a, Yemen",5/31/2000,86.1,55.7,73.4,,82.7,0,,,11.4,166,,6.2,14.3,22.68,Clear
"Sana'a, Yemen",6/1/2000,84.3,62.7,76.1,,81.3,0,,,16.1,125,,6.3,10.9,18.29,Clear
"Sana'a, Yemen",6/2/2000,87.9,54.8,78.1,,84.3,0,,,18.3,235.71,,6.5,30,16.83,Partially cloudy
"Sana'a, Yemen",6/3/2000,87.9,56.4,76,,84.2,0,,,13.9,270,,6.5,24.2,22.26,Clear
"Sana'a, Yemen",6/4/2000,86.3,69.9,80.5,,82.9,0,,,18.3,95.45,,6.5,26.4,16.13,Partially cloudy
"Sana'a, Yemen",6/5/2000,87.9,64.5,79.3,,84.2,0,,,18.3,132,,6.4,14.7,18.8,Clear
"Sana'a, Yemen",6/6/2000,87.9,57.5,78.1,,84.2,0,,,17.2,186.67,,6.2,0,17.85,Clear
"Sana'a, Yemen",6/7/2000,88.4,64.5,79.2,,84.6,0,,,16.1,205.71,,5.7,17.5,22.42,Clear
"Sana'a, Yemen",6/8/2000,89.7,66.3,81.3,,85.6,0,,,20.8,37.5,,6.5,25.4,19.95,Partially cloudy
"Sana'a, Yemen",6/9/2000,85.7,66.3,75.3,,82.4,0,,,11.4,226.67,,5.7,25.7,22.95,Partially cloudy
"Sana'a, Yemen",6/10/2000,85.4,64.5,78.1,,82.1,0,,,13.9,28.57,,6.4,15.6,17.79,Clear
"Sana'a, Yemen",6/11/2000,86.6,64.5,77.1,,83.1,0,,,17.2,84.55,,6.8,23.1,19.29,Clear
"Sana'a, Yemen",6/12/2000,87.9,55.5,75.7,,84.2,0,,,11.4,140,,6.3,3.8,20.27,Clear
"Sana'a, Yemen",6/13/2000,86.1,62.7,78.7,,82.7,0,,,16.1,138.33,,6.4,43,18.18,Partially cloudy
"Sana'a, Yemen",6/14/2000,86.6,65.6,78.6,,83.2,0,,,11.4,97.5,,6.5,23.8,21.07,Clear
"Sana'a, Yemen",6/15/2000,82.1,50.1,69,,79.9,0,,,9.2,182.5,,6.3,14.3,51.56,Clear
"Sana'a, Yemen",6/16/2000,87.2,64.5,79.8,,83.6,0,,,11.4,116,,6.6,54.6,28.65,Partially cloudy
"Sana'a, Yemen",6/17/2000,86.6,66.3,77.2,,83.2,0,,,13.9,190,,6.5,56.5,38.19,Partially cloudy
"Sana'a, Yemen",6/18/2000,84.5,62.7,75.8,,81.6,0,,,13.9,234,,6.5,50.7,38.61,Partially cloudy
"Sana'a, Yemen",6/19/2000,86.6,68.1,79.3,,83.2,0,,,11.4,124.55,,10.4,23.6,25.78,Clear
"Sana'a, Yemen",6/20/2000,86.1,60.9,75.5,,82.7,0,,,20.8,105,,5.7,10,30.84,Clear
"Sana'a, Yemen",6/21/2000,87.9,60.9,75.9,,84.2,0,,,16.1,135,,6.5,16.2,20.31,Clear
"Sana'a, Yemen",6/22/2000,84.3,68.1,75.7,,81.4,0,,,11.4,263.33,,6.3,6,21.36,Clear
"Sana'a, Yemen",6/23/2000,86.1,60.9,77.9,,82.8,0,,,18.3,220.91,,6.3,14.7,22.78,Clear
"Sana'a, Yemen",6/24/2000,86.1,73.5,80.3,,82.7,0,,,13.9,191.25,,5.3,0,23.47,Clear
"Sana'a, Yemen",6/25/2000,86.1,69.9,80.5,,82.7,0,,,17.2,315,,2.5,0,16.97,Clear
"Sana'a, Yemen",6/26/2000,86.6,56,77.4,,83.2,0,,,23,166.67,,5,9.2,17.72,Clear
"Sana'a, Yemen",6/27/2000,86.1,71.7,80.8,,82.8,0,,,20.8,205,,5,31,19.79,Partially cloudy
"Sana'a, Yemen",6/28/2000,87.9,64.5,76.3,,84.2,0,,,27.5,291.25,,5.7,51.4,31.76,Partially cloudy
"Sana'a, Yemen",6/29/2000,84.3,62.7,75.8,,81.4,0,,,17.2,270,,5.5,39.3,29.6,Partially cloudy
"Sana'a, Yemen",6/30/2000,84.3,64.5,76.8,,81.3,0,,,23,288.33,,6.1,47.5,30.31,Partially cloudy
"Sana'a, Yemen",7/1/2000,87.9,69.9,80.2,,84.2,0,,,16.1,132.5,,5.2,48.9,21.23,Partially cloudy
"Sana'a, Yemen",7/2/2000,86.1,64.5,74.5,,82.7,0,,,16.1,204.29,,4.1,35.4,29.45,Partially cloudy
"Sana'a, Yemen",7/3/2000,89.3,68.1,78.6,,85.3,0,,,18.3,161.43,,4.9,21.4,24,Clear
"Sana'a, Yemen",7/4/2000,86.1,66.3,76.1,,82.9,0,,,20.8,132.22,,5.4,63.3,40.74,Partially cloudy
"Sana'a, Yemen",7/5/2000,86.1,62.7,70,,82.9,0.02,,,15,92.14,,5.3,60,61.64,"Rain, Partially cloudy"
"Sana'a, Yemen",7/6/2000,64.5,63.6,64,,,0,,,0,,,6.5,35,73.45,Partially cloudy
"Sana'a, Yemen",7/7/2000,87.9,69.9,78.5,,84.2,0,,,23,114,,4.9,55,36.87,Partially cloudy
"Sana'a, Yemen",7/8/2000,87.9,66.3,77.6,,84.2,0,,,43.6,213.33,,5.6,51.5,37.81,Partially cloudy
"Sana'a, Yemen",7/9/2000,86.1,64.5,76.3,,84.3,0,,,20.8,195.83,,5.5,72.3,40.8,Partially cloudy
"Sana'a, Yemen",7/10/2000,88.4,66.3,74.8,,84.7,0,,,11.4,192.86,,3.7,53.3,46.82,Partially cloudy
"Sana'a, Yemen",7/11/2000,87,64.5,75.4,,84,0.03,,,20.8,236.36,,3.2,58.1,45.94,"Rain, Partially cloudy"
"Sana'a, Yemen",7/12/2000,87.9,59.6,74.9,,84.8,0,,,9.2,30,,4.7,31,45.73,Partially cloudy
"Sana'a, Yemen",7/13/2000,84.3,63.2,74.6,,81.5,0.01,,,16.1,242.5,,3.2,57,42.81,"Rain, Partially cloudy"
"Sana'a, Yemen",7/14/2000,86.1,68.1,77.6,,82.7,0,,,19.5,164.29,,5.6,46.9,31.19,Partially cloudy
"Sana'a, Yemen",7/15/2000,83.6,66.3,76.7,,81.1,0,,,20.8,200,,3.9,56.7,32.57,Partially cloudy
"Sana'a, Yemen",7/16/2000,89.7,64.5,79.1,,85.6,0,,,25.3,204.44,,5.8,44.5,30.2,Partially cloudy
"Sana'a, Yemen",7/17/2000,89.7,64.5,81.3,,85.6,0,,,11.4,249,,5.8,49.3,26.85,Partially cloudy
"Sana'a, Yemen",7/18/2000,89.7,69.9,81.7,,85.6,0,,,13.9,200,,5.1,51,21.92,Partially cloudy
"Sana'a, Yemen",7/19/2000,89.7,66.3,81.7,,85.6,0,,,9.2,98,,2.5,37.1,22.97,Partially cloudy
"Sana'a, Yemen",7/20/2000,89.7,69.9,78.3,,87.1,0,,,35.8,171.25,,4.2,27.9,32.43,Partially cloudy
"Sana'a, Yemen",7/21/2000,87.9,69.9,78.5,,84.2,0,,,31.3,275.45,,3.4,61.8,28.41,Partially cloudy
"Sana'a, Yemen",7/22/2000,86.1,62.7,74.8,,83.2,0,,,18.3,101,,4.1,56,38.87,Partially cloudy
"Sana'a, Yemen",7/23/2000,86.1,62.7,76.7,,83.2,0,,,20.8,156.67,,6.4,55,43.1,Partially cloudy
"Sana'a, Yemen",7/24/2000,87.9,71.7,81.5,,84.2,0,,,18.3,203.64,,6.7,69.2,27.84,Partially cloudy
"Sana'a, Yemen",7/25/2000,86.1,64.5,78.6,,82.8,0,,,20.8,180,,6.1,27.9,30.33,Partially cloudy
